step_number,description,Recipe_name
8,"Working quickly, without handling the dough too much, divide dough into four equal pieces and gently form each piece into a ball",Buss Up Shut (Paratha Roti)
9,"Cover balls with a damp kitchen towel or plastic wrap and let rest 10 minutes.
Roll out a dough ball on a lightly floured surface into a 5-6""–diameter round",Buss Up Shut (Paratha Roti)
10,Brush with a quarter of shortening mixture and sprinkle evenly with flour,Buss Up Shut (Paratha Roti)
11,"Cut a slit halfway across the dough, from the center to the edge",Buss Up Shut (Paratha Roti)
12,"Starting on one side of slit, fold cut edge of dough at about a ¾"" interval",Buss Up Shut (Paratha Roti)
13,Continue folding process until you reach the other side of the slit and have formed a cone,Buss Up Shut (Paratha Roti)
14,"Pinch together edges at wide end of cone to seal, then bring both point ends together at the top and gently push in toward center of cone to create a dimple (you don’t need to push in too far)",Buss Up Shut (Paratha Roti)
15,Push point at narrow end of cone in toward the center,Buss Up Shut (Paratha Roti)
16,You should now have a ball with a dimple on each end,Buss Up Shut (Paratha Roti)
17,Transfer to a lightly floured surface and repeat with remaining balls of dough,Buss Up Shut (Paratha Roti)
18,"Cover balls with a damp kitchen towel or plastic wrap and let rest 20 minutes.
Heat a tawa or griddle over medium until a drop of water immediately sizzles on surface, about 2 minutes.
Meanwhile, place a ball of dough on a dimpled side on a lightly floured surface",Buss Up Shut (Paratha Roti)
19,"Gently flatten into a round with your hands, turning once if desired, then roll, rotating often, to a ⅛""-thick round, about 10–12"".
Brush tawa with a thin layer of oil",Buss Up Shut (Paratha Roti)
20,"Cook roti until it begins to bubble slightly across the surface, about 20 seconds",Buss Up Shut (Paratha Roti)
21,"Brush surface of roti with oil and continue to cook until bubbles across surface increase and roti is stiff enough on bottom side to turn, about 1 minute more",Buss Up Shut (Paratha Roti)
22,Turn roti over and brush surface with oil (bubbles may deflate; that’s okay),Buss Up Shut (Paratha Roti)
23,"Using a spatula, move roti around to avoid hot spots and ensure even cooking, pressing on edges and uncooked spots to increase contact with pan",Buss Up Shut (Paratha Roti)
24,"Continue to cook, turning every 30 seconds or so, until cooked through and both sides are speckled with golden brown spots, 1–2 minutes more",Buss Up Shut (Paratha Roti)
25,"Using 2 spatulas, push opposite edges of roti toward the center",Buss Up Shut (Paratha Roti)
26,"Smack down on the bunched roti with the ends of the spatulas to break up and flake, then turn roti over",Buss Up Shut (Paratha Roti)
27,"Repeat process, scrunching and smacking roti from different directions, until flaky and lightly shredded",Buss Up Shut (Paratha Roti)
28,Transfer to a clean kitchen towel set inside a bowl or basket and wrap up to keep warm,Buss Up Shut (Paratha Roti)
29,"Repeat with remaining dough balls and more oil, adding finished roti to bowl and covering tightly with towel as you go.",Buss Up Shut (Paratha Roti)
1,"Cover eggs with cold water by 1 1/2 inches in a 3-quart heavy saucepan and bring to a rolling boil, partially covered",Best Deviled Eggs
2,"Reduce heat to low and cook eggs, covered completely, 30 seconds",Best Deviled Eggs
3,"Remove from heat and let stand, covered, 15 minutes",Best Deviled Eggs
4,"Transfer eggs with a slotted spoon to a bowl of ice and cold water to stop cooking and let stand 5 minutes.
Peel eggs and halve lengthwise",Best Deviled Eggs
5,Carefully remove yolks and mash in a bowl with a fork,Best Deviled Eggs
6,"Add mayonnaise, mustard, and cayenne and stir with fork until smooth, then season with salt and pepper",Best Deviled Eggs
7,Fill pastry bag with yolk mixture and pipe into egg whites.,Best Deviled Eggs
1,"In a bowl, combine mangoes, shallots, green chiles, ginger, garlic, vinegar, and salt and mix well",Mango Curry
2,"Set aside for 2 hours.
In a large saucepan, combine mango mixture and coconut milk and bring to a boil",Mango Curry
3,"Reduce heat and simmer for 5 minutes, or until mangoes are softened.
Have a splash guard and measured spices nearby",Mango Curry
4,Heat oil in a small frying pan over medium-high heat until nearly smoking,Mango Curry
5,Immediately reduce heat to medium,Mango Curry
6,(You can test the heat of the oil by dropping in a couple of seeds,Mango Curry
7,"The oil is at the correct temperature when the seeds crackle, but do not burn.) Add mustard seeds and temper for a few seconds, until they stop popping",Mango Curry
8,"(Cover with the splash guard, if needed.) Add red chiles and curry leaves and cook for 15–20 seconds",Mango Curry
9,"Add the tempered spice mixture to the saucepan and stir to combine.
Garnish with fried onions (if using)",Mango Curry
10,"Serve with rice.
Tempering is a traditional method of extracting optimal flavor from Indian spices, and it is a skill learned with practice! Reducing the heat a little before adding the spices prevents the spices from burning and adding a bitterness to your dish",Mango Curry
11,"If they do burn, simply start again with fresh spices.",Mango Curry
1,"Bring piloncillo, canela, cardamom, allspice, peppercorns, salt, and 1 cup water to a boil in a small saucepan",Iced Café de Olla
2,"Reduce heat, cover, and simmer 15 minutes",Iced Café de Olla
3,"Add orange zest; let cool.
Strain spiced syrup through a fine-mesh sieve into a measuring glass; discard spices",Iced Café de Olla
4,"(You should have about 1 cup.)
To make 1 drink, pour 1 cup cold-brew coffee into an ice-filled glass",Iced Café de Olla
5,Stir in 2–3 Tbsp,Iced Café de Olla
6,spiced syrup; top with 2–3 Tbsp,Iced Café de Olla
7,"coconut milk.
Do Ahead: Syrup can be made 1 week ahead",Iced Café de Olla
8,Cover and chill.,Iced Café de Olla
1,"Place an 8-inch ovenproof skillet or cast-iron pan in the oven and preheat to 425°.
Once the oven reaches temperature, blend 3 large eggs in a blender until well combined and frothy, 1 minute",Pumpkin Dutch Baby With Pumpkin Butter
2,"Add ¼ cup of the pumpkin purée, then 1 cup milk, and then 1 Tbsp",Pumpkin Dutch Baby With Pumpkin Butter
3,"of the butter, blending for 30 seconds after each addition",Pumpkin Dutch Baby With Pumpkin Butter
4,"Add 1 cup all-purpose flour, ¼ tsp",Pumpkin Dutch Baby With Pumpkin Butter
5,"allspice, ¼ tsp",Pumpkin Dutch Baby With Pumpkin Butter
6,"ground ginger, ¼ tsp",Pumpkin Dutch Baby With Pumpkin Butter
7,"nutmeg, ½ tsp",Pumpkin Dutch Baby With Pumpkin Butter
8,"salt, and 1 tsp",Pumpkin Dutch Baby With Pumpkin Butter
9,of the cinnamon in one addition,Pumpkin Dutch Baby With Pumpkin Butter
10,"Blend again until combined and frothy, 1 minute (scraping down the sides of the blender if necessary).
Pull the hot pan from the oven and add the remaining 2 Tbsp",Pumpkin Dutch Baby With Pumpkin Butter
11,"butter, swirling the pan so it melts evenly across the bottom (it will bubble and brown)",Pumpkin Dutch Baby With Pumpkin Butter
12,"Once the butter is melted, immediately pour in the Dutch baby batter and return to the oven",Pumpkin Dutch Baby With Pumpkin Butter
13,"Bake until golden brown and slightly puffed, 20 minutes.
While the Dutch baby bakes, combine ½ cup apple cider, 3 Tbsp",Pumpkin Dutch Baby With Pumpkin Butter
14,"maple syrup, the remaining ½ tsp",Pumpkin Dutch Baby With Pumpkin Butter
15,"cinnamon, a pinch of salt, and the rest of the can of pumpkin purée (about 1 ¼ cups) in a small saucepan",Pumpkin Dutch Baby With Pumpkin Butter
16,"Cook over medium-high heat until the mixture starts to bubble, then reduce to medium and cook, stirring frequently and scraping down the sides of the pot with a spatula, until dark and thickened with no raw pumpkin flavor remaining, 20 to 25 minutes",Pumpkin Dutch Baby With Pumpkin Butter
17,Slice the Dutch baby (it will start to sink as soon as you take it out of the oven) and serve with the pumpkin butter and powdered sugar.,Pumpkin Dutch Baby With Pumpkin Butter
1,Place a rack in middle of oven; preheat to 375°F,Braised Chicken Legs With Grapes and Fennel
2,Season chicken legs all over with 3 tsp,Braised Chicken Legs With Grapes and Fennel
3,"salt.
Swirl 1 Tbsp",Braised Chicken Legs With Grapes and Fennel
4,oil in a large Dutch oven or other heavy pot to coat and heat over medium-high,Braised Chicken Legs With Grapes and Fennel
5,"Place 2 chicken legs, skin side down, in pot, making sure skin is in direct contact with pan",Braised Chicken Legs With Grapes and Fennel
6,"Cook, undisturbed, until dark golden, about 5 minutes",Braised Chicken Legs With Grapes and Fennel
7,"Turn over and cook until golden on other side, about 2 minutes",Braised Chicken Legs With Grapes and Fennel
8,Transfer to a large plate,Braised Chicken Legs With Grapes and Fennel
9,"Repeat with remaining 2 chicken legs; reserve pot.
Meanwhile, working one at a time, stand a bulb, root end down, on a cutting board and slice off a short end to create a flat surface",Braised Chicken Legs With Grapes and Fennel
10,"Turn cut side down and slice ½"" thick, starting from the top end of bulb so the root end can hold the layers in place while you slice",Braised Chicken Legs With Grapes and Fennel
11,"Discard last ¼"" (root end) of each bulb and pop out and discard tougher center from slices",Braised Chicken Legs With Grapes and Fennel
12,"Transfer fennel to a large bowl and add half of the grapes, ½ tsp",Braised Chicken Legs With Grapes and Fennel
13,"salt, and remaining 1 Tbsp",Braised Chicken Legs With Grapes and Fennel
14,oil; toss to coat,Braised Chicken Legs With Grapes and Fennel
15,"Set aside.
Reduce heat to medium and combine broth, honey, chile paste, and remaining 1 tsp",Braised Chicken Legs With Grapes and Fennel
16,salt in reserved pot,Braised Chicken Legs With Grapes and Fennel
17,Stir to combine and dissolve salt,Braised Chicken Legs With Grapes and Fennel
18,"Place remaining grapes in pot and arrange chicken legs, skin side up and overlapping if needed, over grapes",Braised Chicken Legs With Grapes and Fennel
19,Top with dressed fennel and grapes,Braised Chicken Legs With Grapes and Fennel
20,"(Don’t worry if it looks crowded: Fennel will soften as it cooks.)
Transfer pot, uncovered, to oven and roast until fennel is slightly softened, with some crispy, caramelized edges, grapes on top are swollen and browned in spots, and chicken is cooked through, 30–40 minutes",Braised Chicken Legs With Grapes and Fennel
21,"Let cool 5 minutes.
Using a slotted spoon or tongs, transfer grapes and fennel to a bowl and chicken to a platter",Braised Chicken Legs With Grapes and Fennel
22,Place pot over medium-high heat and bring braising liquid to a simmer,Braised Chicken Legs With Grapes and Fennel
23,"Cook until reduced by half (you should have about 1 cup liquid), 8–10 minutes",Braised Chicken Legs With Grapes and Fennel
24,"Remove from heat and stir in vinegar and fennel fronds.
Spoon sauce over chicken and serve with fennel and grapes alongside.",Braised Chicken Legs With Grapes and Fennel
1,Preheat oven to 400°,Old-Fashioned Scalloped Potatoes
2,"In a skillet, cook the onion and 2 tablespoons of the butter over moderately low heat, stirring, until it is very soft",Old-Fashioned Scalloped Potatoes
3,"In a heavy saucepan, melt 6 tablespoons of the remaining butter over moderately low heat, whisk in the flour, and cook the roux, whisking, for 3 minutes",Old-Fashioned Scalloped Potatoes
4,"Add the milk, scalded, in a stream, whisking, and bring the sauce to a boil",Old-Fashioned Scalloped Potatoes
5,"Simmer the sauce, whisking, for 1 minute and add salt and pepper to taste.
Peel the potatoes and slice them ⅛-inch thick",Old-Fashioned Scalloped Potatoes
6,"Spread about one third of the sauce in the bottom of a well-buttered 3-quart gratin dish at least 2 ½-inches deep, cover it with a layer of potato slices, overlapping the slices slightly, and cover the potatoes with one third of the onions",Old-Fashioned Scalloped Potatoes
7,"Sprinkle the onions with one third of the Cheddar and continue to layer the remaining sauce, potatoes, onions, and Cheddar in the same manner",Old-Fashioned Scalloped Potatoes
8,"Sprinkle the top with bread crumbs, and dot it with the remaining 1 tablespoon butter, cut into bits.
Bake the mixture, covered with foil, in the middle of preheated oven for 20 minutes",Old-Fashioned Scalloped Potatoes
9,"Remove the foil and bake the potato mixture for 35 minutes more, or until the top is golden and the potatoes are tender.",Old-Fashioned Scalloped Potatoes
1,Preheat your oven to its highest setting (with fan if it has one),Yogurt and Spice Roasted Salmon
2,"Line a baking tray with baking paper.
Mix all the marinade ingredients together in a mixing bowl",Yogurt and Spice Roasted Salmon
3,"Add the salmon and turn until well coated in the marinade.
Spread the salmon out on the prepared baking tray and roast for 10 minutes until cooked through",Yogurt and Spice Roasted Salmon
4,"Remove from the oven and serve immediately with tortilla wraps, tomatoes, finely sliced onion, coriander leaves and Greek yogurt.",Yogurt and Spice Roasted Salmon
1,"Combine the water and yeast in a large mixing bowl (if you have a stand mixer, use that bowl) and let sit for 5 minutes.
Reserve ½ cup (60 grams) bread flour and add the remaining 4 cups to the mixing bowl along with the canola oil.
If you have a stand mixer, fit it with the dough hook and knead the mixture on low speed for about 3 minutes, until a sticky but cohesive dough starts to form",Pita
2,Pause occasionally to scrape down the bowl if the flour is clinging to the sides and bottom or climbing up the hook,Pita
3,"If you’re making the dough without a stand mixer, mix it with a wooden spoon",Pita
4,"In either case, loosely cover the bowl with plastic wrap or a dish towel and let rest for 30 minutes.
With your stand mixer on low or while stirring by hand in the mixing bowl, add the salt and, over the course of 2 or 3 minutes, add the remaining ½ cup flour, 2 tablespoons at a time",Pita
5,"The dough should be more tense; it will feel soft but tacky, although it will pull from the sides of the bowl.
Flour your hands generously and use them to pull the dough onto a clean, unfloured work surface",Pita
6,"Cup your hands around the dough, rolling it in short, circular strokes and using the sides of your hands to nudge it into a relatively smooth ball.
Lightly wipe the inside of a large bowl with canola oil and place the dough inside, flipping it once or twice to coat",Pita
7,"Loosely cover the bowl and let the dough rise at a warm room temperature for 1 hour.
After 1 hour, the dough will be stretchy but very soft",Pita
8,"Leaving it inside the bowl, stretch opposite sides of the dough over the center",Pita
9,"Rotate the bowl a quarter- turn and stretch the dough in the same way, then flip the whole mound of dough upside down and cover again",Pita
10,"Let rise for 1 hour.
Repeat this series of folds one more time, allow it to rise at room temperature for 1 hour, then tightly cover the bowl and refrigerate overnight or up to 2 days",Pita
11,"The longer the dough is refrigerated, the more flavor it will have",Pita
12,"After this rise, it’s ready to be shaped; bear in mind that, once it’s shaped, it will need more time for a final rise, so plan ahead.
Wipe a bit of canola oil on a large baking sheet",Pita
13,"Dump the dough onto a clean, dry counter, and use a bench scraper or sharp knife to cut it into eight equal pieces; make clean, decisive cuts rather than use a sawing motion, so you don’t deflate all the air inside.
Lightly flour your hands and place one palm directly over the dough ball, with all your fingertips touching the counter to make a sort of “cage” around the dough",Pita
14,"Roll it in brisk, small circles on the countertop so it tightens itself into a smoother, more taut ball.
Space the rounds of dough a few inches apart, seam side down, on the sheet, and roll to coat them lightly in oil",Pita
15,"Tightly cover the sheet with plastic wrap so the dough doesn’t dry out, and let them rise at room temperature for 2 to 4 more hours, until they’re pillowy.
Meanwhile, set a baking stone on the center rack of your oven and turn on the broiler",Pita
16,"You’re emulating a 700°F wood- burning oven, so you need to give the stone a good long while to preheat before you bake.
When the dough is ready, lightly flour a work surface, and use a bench scraper or thin metal spatula to coax one piece into your palm; be sure you don’t manhandle it or you’ll force out the pockets of air that formed while it rose",Pita
17,"Dust a little more flour on the top of the dough and onto your rolling pin.
With firm, even pressure, briskly roll the dough a few times along its length",Pita
18,"Flip it upside down, rotate it a quarter- turn, and roll it the same way, keeping it as round as possible",Pita
19,"Repeat, dusting a little extra flour as needed, until it’s about 6 inches across.
This next part happens fast and furiously, so make sure you have no distractions—screaming children and natural disasters will have to wait",Pita
20,Use tongs or a good oven mitt to pull the oven rack with the baking stone partially out,Pita
21,"Carefully pick up the pita, drape it over your palm, and slap it down onto the stone as if you’re giving it a high- five (just be careful not to touch the hot stone!)",Pita
22,"Set a timer for 1 minute, and close the oven",Pita
23,"Broilers vary in strength but all are quite hot, so don’t turn your back on the oven or the pita may burn",Pita
24,"Check on it— it should puff up and build in color, with some beautiful blistered spots",Pita
25,"If it’s still pale, close the oven and let it keep baking for 30- second intervals.
Use tongs to flip the pita, and let it finish baking with the oven door cracked so you can watch it finish",Pita
26,"Pull it out when the second side is as pretty as the first; this can take anywhere from 30 seconds to 2 minutes, depending on your broiler.
Bake off the rest of the dough this way; as you get the hang of it, feel free to bake two pitas at a time",Pita
27,Serve these hot or at room temperature.,Pita
1,"To make the “beet water,” roughly chop 2 pounds of the beets (select the smaller ones), preferably in a food processor fitted with the metal blade",Veselka's Famous Borscht
2,Place the chopped beets in a large stockpot,Veselka's Famous Borscht
3,"Add 10 cups of water and 1 tablespoon vinegar.
Place the stockpot over high heat and bring to a boil, then reduce the heat to low, and simmer for 2 hours",Veselka's Famous Borscht
4,"(If it seems like the liquid is evaporating too quickly, you may need to cover the pot partially with an offset lid.) The beets should be extremely soft and the liquid bright red.
Strain the liquid, pressing the cooked beets against the side of the strainer to extract as much liquid as possible",Veselka's Famous Borscht
5,Discard the pulp or reserve,Veselka's Famous Borscht
6,Set aside the beet water,Veselka's Famous Borscht
7,"You should have just about 4 cups.
Meanwhile, place the remaining 1 pound of whole beets in a separate large stockpot",Veselka's Famous Borscht
8,Add water to cover and bring to a boil,Veselka's Famous Borscht
9,"Reduce the heat to low, and simmer until the beets are tender-firm, about 40 minutes",Veselka's Famous Borscht
10,"When the beets are cooked, add 1 tablespoon white vinegar and set them aside to cool.
When the whole cooked beets are cool enough to handle, peel them; the skins should slip off easily",Veselka's Famous Borscht
11,"Grate the peeled beets on the largest holes of a box grater or in a food processor fitted with the grating blade.
To make the broth, place the pork butt in a large stockpot and add the beef stock",Veselka's Famous Borscht
12,"If necessary, add a little more stock or water to cover",Veselka's Famous Borscht
13,"Add the bay leaf, allspice berries, and peppercorns",Veselka's Famous Borscht
14,"Bring to a boil, reduce the heat to low, and simmer until the meat is tender and beginning to fall apart, about 2 hours",Veselka's Famous Borscht
15,Set the pork aside to cool,Veselka's Famous Borscht
16,"When the pork is cool enough to handle, remove it from the pot and cut the meat into ½-inch cubes",Veselka's Famous Borscht
17,"Strain the broth and discard the bay leaf, allspice berries, and peppercorns",Veselka's Famous Borscht
18,"Reserve the cubed meat and 4 cups of the broth.
To cook the vegetables, place the carrots and celery in a large stockpot and pour the reserved meat broth over them",Veselka's Famous Borscht
19,"Bring to a boil, reduce the heat, and simmer until the carrots and celery are just tender, about 8 minutes",Veselka's Famous Borscht
20,"Add the cabbage and potatoes and continue to cook until the potatoes and carrots are easily pierced with a pairing knife but keep their shape, 15 to 20 additional minutes",Veselka's Famous Borscht
21,"Add the lima beans and cook for 5 additional minutes, just to meld the flavors",Veselka's Famous Borscht
22,"Gradually add the remaining 7 tablespoons white vinegar, tasting between additions and stopping when the flavor is to your liking",Veselka's Famous Borscht
23,"Remove the soup from the heat and set aside.
To compose the soup, in a large soup pot combine the “beet water” and meat broth with the vegetables",Veselka's Famous Borscht
24,Add the cubed pork and the grated beets,Veselka's Famous Borscht
25,Stir to combine and bring to a simmer over low heat,Veselka's Famous Borscht
26,Season to taste with salt and serve immediately.,Veselka's Famous Borscht
1,"Using a sharp chef’s knife, score skin of each fish fillet in a crosshatch pattern, making cuts about ½"" apart",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
2,"Season fillets on both sides with salt and alligator pepper.
Toast cubeb peppers in a dry small skillet over medium-low heat, shaking occasionally, until fragrant, about 3 minutes",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
3,Transfer to a spice mill or mortar and pestle,Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
4,Let cool and coarsely grind; set aside,Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
5,"Coarsely chop half of papaya into 1"" pieces; set remaining half aside",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
6,"Coarsely chop half of cilantro (leaves and stems); set remaining cilantro aside.
Transfer chopped papaya to a blender; add oil and blend, adding 1–2 Tbsp",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
7,"water to get it going if needed, until smooth",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
8,"Add chopped cilantro, onion, garlic, ginger, ground chile, ¼ tsp",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
9,"salt, and reserved ground cubeb pepper",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
10,"Blend mixture to a smooth paste.
Coat fillets all over with marinade, rubbing into score marks",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
11,"Place fish, skin side down, in a single layer in a large baking dish",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
12,Squeeze juice from half a lemon over,Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
13,Set remaining lemon half aside for serving,Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
14,"Cover with plastic wrap or a lid and chill at least 2 hours and up to 12 hours.
Fill a large bowl with water",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
15,"Peel yams and slice in half lengthwise, then slice in half crosswise",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
16,"Cut each quarter into ½""-thick slabs",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
17,"(Length of slabs will depend on yam’s size, but you’re going for something that looks like steak fries.) Add yam slices to bowl as you work to prevent oxidation",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
18,"When all yams are cut, swish in water to remove excess starch, then drain",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
19,"Refill bowl and repeat process until water is clear, about 2 more times",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
20,Add sugar and ½ tsp,Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
21,salt and stir until dissolved; add the drained chips,Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
22,"(Yams, like many foods that are good for you, can be quite bitter; the sugar will help counter this.) Let soak 30 minutes.
Place a rack in middle of oven; preheat to 450°",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
23,Drain chips and pat dry with a clean kitchen towel,Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
24,Transfer to a rimmed baking sheet and drizzle with 2 Tbsp,Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
25,oil,Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
26,"Season with black pepper, then sprinkle with chili powder and remaining 1 tsp",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
27,salt,Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
28,"Toss to coat, then spread out into an even layer",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
29,"Roast chips, turning halfway through, until golden brown and crisp, about 20 minutes.
Heat broiler",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
30,"Scrape off excess marinade from fish and place fillets, skin side up, on another rimmed baking sheet",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
31,"Broil until browned and crisp on top and cooked through, 5–7 minutes.
Using a vegetable peeler, shave reserved papaya into ribbons, pick leaves from reserved cilantro stems, and cut reserved lemon half into wedges.
Transfer fish to plates and top with papaya and cilantro",Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
32,Mound yam chips next to fillets,Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
33,Serve with shito and lemon wedges alongside.,Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips
1,Place apricots in a small bowl and pour in hot water to cover,Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
2,"Let sit 20 minutes, then drain and coarsely chop",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
3,Return apricots to same bowl and add rum; stir to coat,Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
4,Chill at least 30 minutes and up to 1 day,Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
5,Drain into a mesh sieve set over another small bowl or container,Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
6,"Reserve apricots and rum separately.
Melt butter in a medium saucepan over medium heat",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
7,"Add cinnamon, 3 Tbsp",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
8,"coconut sugar, and reserved apricots",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
9,"Cook, stirring occasionally, until apricots are slightly softened and coated in caramel, 6–8 minutes",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
10,"Add reserved rum and cook, stirring often, until thickened and syrupy, about 5 minutes",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
11,Let cool slightly,Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
12,"(Just FYI: You can eat these drunk apricots right away over vanilla ice cream and be very happy.)
Toast grains of selim pods and cubeb peppers in a small skillet over medium-low heat, shaking occasionally, until fragrant, about 3 minutes",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
13,Transfer to a spice mill or mortar and pestle and let cool,Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
14,Grind as well as you can,Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
15,"The grains of selim won’t completely break up, so cracked open but mostly whole is okay—you just want to release some of their flavor.
Heat oil in a large Dutch oven or other heavy pot over medium",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
16,"Cook white and red onions, stirring occasionally, until softened and just starting brown, 20–25 minutes",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
17,"Stir in ground grains of selim and cubeb pepper, garlic, ginger, and remaining 1 tsp",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
18,coconut sugar,Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
19,"Cook, stirring occasionally, 5 minutes",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
20,"Add red pepper flakes, rosemary, thyme, prawn powder, and 1 tsp",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
21,"salt to pot and cook, stirring occasionally, about 2 minutes",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
22,"Add drunk apricots along with any syrup and cook, stirring often, about 2 minutes.
Add tomato purée to pot and cook, stirring occasionally, 4 minutes, then stir in chile powder",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
23,Add broth and fresh chile,Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
24,"Cover pot and cook, stirring occasionally to prevent sticking, until a loose dark brown paste forms, 30–40 minutes",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
25,The oil will rise to the surface when the sauce is ready,Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
26,Remove from heat; taste and season with more salt if needed,Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
27,"If you like texture, leave as is, or blend with an immersion blender (or let it cool slightly and blend it in a blender) to make it smooth",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
28,"Let cool completely.
Spoon shito into jars or an airtight container with at least a ¼"" layer of oil on top.
Do ahead: Shito can made 1 week ahead",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
29,"Cover and chill.
Note: The amount of chile described in this recipe is what I would classify as pretty hot—some West Africans might call this medium hot, some very hot",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
30,"Folks familiar with heat will enjoy this, but if you don’t like super-jacked heat you should probably err on the lower end of the range",Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
31,West African pantry staples can be found at Zoe's Ghana Kitchen.,Drunk Apricot Shito (Ghanaian Hot Pepper Sauce)
1,"Combine the dried beans and kombu in a large container and cover with plenty of water to soak for at least 4 hours or overnight; skip this step if using fresh beans.
Drain the beans and kombu and add them to a large pot with enough water to cover by about 1 in",Summer Bean Soup With Tomato Brown Butter
2,"(if using fresh beans, add the kombu now)",Summer Bean Soup With Tomato Brown Butter
3,"Bring to a boil over medium-high heat; meanwhile, halve the tomatoes and cut the celery, carrot, and leek into about 3 in",Summer Bean Soup With Tomato Brown Butter
4,pieces,Summer Bean Soup With Tomato Brown Butter
5,"As soon as the water boils, decrease the heat to medium-low and add the vegetables to the pot, along with the whole shallots and minced garlic",Summer Bean Soup With Tomato Brown Butter
6,"Continue to cook at a gentle simmer until the beans are very creamy, 60 to 90 minutes for dried beans and about half that for fresh.
Remove the pot from the heat and use a slotted spoon to reserve the tomatoes; remove and discard the other vegetables.
Set up a sieve over a heat proof container and strain the beans (there should be about 3 cups or 480 g), reserving all the cooking liquid.
In a blender, combine 1 cup (160 g) of the cooked beans with 2 cups (480 ml) of the cooking liquid, plus the tomatoes, anchovies, oil, maple syrup, salt, red pepper flakes, and mustard",Summer Bean Soup With Tomato Brown Butter
7,"Purée until extremely smooth, pour into a large bowl, and fold in the reserved cooked beans by hand",Summer Bean Soup With Tomato Brown Butter
